path	format	reader	declared_records
Data/Ui/spk/PartyOusters.spk	pixels	indexed	21
Data/Ui/spk/PartySlayer.spk	pixels	indexed	21
Data/Ui/spk/PartyVampire.spk	pixels	indexed	21
Data/Ui/spk/PetButtonOusters.spk	pixels	indexed	14
Data/Ui/spk/PetButtonSlayer.spk	pixels	indexed	14
Data/Ui/spk/PetButtonVampire.spk	pixels	indexed	14
Data/Ui/spk/PetCentauro.spk	pixels	indexed	14
Data/Ui/spk/PetFace.spk	pixels	indexed	50
Data/Ui/spk/PetPixie.spk	pixels	indexed	14
Data/Ui/spk/PetStirge.spk	pixels	indexed	14
Data/Ui/spk/PetWolfDog.spk	pixels	indexed	14
Data/Ui/spk/Petgargoyle.spk	pixels	indexed	11
Data/Ui/spk/Petlupeng.spk	pixels	indexed	14
Data/Ui/spk/Petmilitarybear.spk	pixels	indexed	11
Data/Ui/spk/PortalEtcOusters.spk	pixels	indexed	7
Data/Ui/spk/PortalEtcSlayer.spk	pixels	indexed	23
Data/Ui/spk/PortalMapSlayer.spk	pixels	indexed	6
Data/Ui/spk/Powerjjang_Item.spk	pixels	indexed	7
Data/Ui/spk/Powerjjang_Ousters.spk	pixels	indexed	4
Data/Ui/spk/Powerjjang_Slayer.spk	pixels	indexed	4
Data/Ui/spk/Powerjjang_Vampire.spk	pixels	indexed	4
Data/Ui/spk/ProgressEvent.spk	pixels	indexed	12
Data/Ui/spk/ProgressEvent_1024.spk	pixels	indexed	12
Data/Ui/spk/QuestManager_Ousters.spk	pixels	indexed	18
Data/Ui/spk/QuestManager_Slayer.spk	pixels	indexed	18
Data/Ui/spk/QuestManager_Vampire.spk	pixels	indexed	18
Data/Ui/spk/QuestModify.spk	pixels	indexed	2
Data/Ui/spk/Question.spk	pixels	indexed	4
Data/Ui/spk/QuickitemOusters.spk	pixels	indexed	18
Data/Ui/spk/QuickitemSlayer.spk	pixels	indexed	18
Data/Ui/spk/ScrollBar.spk	pixels	indexed	8
Data/Ui/spk/ScrollBar_1024.spk	pixels	indexed	8
Data/Ui/spk/ServerSelect.spk	pixels	indexed	11
Data/Ui/spk/Shop&StorageOusters.spk	pixels	indexed	28
Data/Ui/spk/Shop&StorageSlayer.spk	pixels	indexed	28
Data/Ui/spk/Shop&StorageVampire.spk	pixels	indexed	28
Data/Ui/spk/SkillEtcOusters.spk	pixels	indexed	3
Data/Ui/spk/SkillEtcSlayer.spk	pixels	indexed	3
Data/Ui/spk/SkillEtcVampire.spk	pixels	indexed	3
Data/Ui/spk/SlayerPersnalShop.spk	pixels	indexed	10
Data/Ui/spk/SysButtonOusters.spk	pixels	indexed	90
Data/Ui/spk/SysButtonSlayer.spk	pixels	indexed	90
Data/Ui/spk/SysButtonVampire.spk	pixels	indexed	90
Data/Ui/spk/TeamMemberSlayer.spk	pixels	indexed	3
Data/Ui/spk/TeamMemberVampire.spk	pixels	indexed	3
Data/Ui/spk/TeamOusters.spk	pixels	indexed	71
Data/Ui/spk/TeamSlayer.spk	pixels	indexed	71
Data/Ui/spk/TeamVampire.spk	pixels	indexed	71
Data/Ui/spk/Title.spk	pixels	indexed	1
Data/Ui/spk/TitleAni.spk	pixels	indexed	10
Data/Ui/spk/TitleBack.spk	pixels	indexed	4
Data/Ui/spk/TitleMenuDefault.spk	pixels	indexed	8
Data/Ui/spk/TitleMenuSelect.spk	pixels	indexed	4
Data/Ui/spk/Title_1024.spk	pixels	indexed	4
Data/Ui/spk/Trace.spk	pixels	indexed	7
Data/Ui/spk/TutorialBook.spk	pixels	indexed	4
Data/Ui/spk/TutorialBookcase.spk	pixels	indexed	259
Data/Ui/spk/TutorialComputer.spk	pixels	indexed	8
Data/Ui/spk/UseGrade.spk	pixels	indexed	2
Data/Ui/spk/VampirePersnalShop.spk	pixels	indexed	10
Data/Ui/spk/WorldMap.spk	pixels	indexed	33
Data/Ui/spk/XMasCard.spk	pixels	indexed	7
Data/Ui/spk/sms_ousters_list.spk	pixels	indexed	16
Data/Ui/spk/sms_ousters_main.spk	pixels	indexed	14
Data/Ui/spk/sms_ousters_record.spk	pixels	indexed	9
Data/Ui/spk/sms_slayer_list.spk	pixels	indexed	16
Data/Ui/spk/sms_slayer_main.spk	pixels	indexed	14
Data/Ui/spk/sms_slayer_record.spk	pixels	indexed	9
Data/Ui/spk/sms_vampire_list.spk	pixels	indexed	16
Data/Ui/spk/sms_vampire_main.spk	pixels	indexed	14
Data/Ui/spk/sms_vampire_record.spk	pixels	indexed	9
data/ui/spk/lotterynotice.spk	pixels	indexed	1
Data/Ui/spk/item.ispk	index	indexed	1767
Data/Ui/spk/SkillIcon.spk	pixels	indexed	647
Data/Ui/spk/SkillMini.spk	pixels	indexed	559
Data/Image/GradeMarkSlayer.spk	pixels	indexed	100
Data/Image/GradeMarkVampire.spk	pixels	indexed	100
Data/Image/GradeMarkOusters.spk	pixels	indexed	100
Data/Image/LevelMarkPet.spk	pixels	indexed	102
Data/Image/GuildMark.spk	pixels	indexed	4758
Data/Image/AdvancementQuestEnding.spk	pixels	eager	7
Data/Image/Etc.spk	pixels	eager	47
Data/Image/Weather.spk	pixels	eager	24
Data/Image/OustersFin.spk	pixels	eager	11
Data/Image/Effect.ppk	colors	indexed	1957
Data/Image/EffectScreen.ppk	colors	eager	606
Data/Image/Light2D.ftp	filter	filter-pack	12
Data/Image/UI.spk	pixels	file-index-table	6
